Key Stage,Year,Curriculum Strand,Section / Topic,Objective / Requirement,Skill Code,Skill Title,Skill URL
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-K.2,Choose the short a word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-K.4,Choose the short a sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-L.2,Choose the picture that matches the short e word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-e-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-L.4,Choose the short e sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-e-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-M.2,Choose the short i word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-M.4,Choose the short i sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-N.2,Choose the short o word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-N.4,Choose the short o sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-O.2,Choose the picture that matches the short u word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-u-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-O.4,Choose the short u sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-u-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-P.4,Complete the sentence with the correct short vowel word,https://uk.ixl.com/english/year-1/complete-the-sentence-with-the-correct-short-vowel-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,1-P.5,Read questions with short vowel words,https://uk.ixl.com/english/year-1/read-questions-with-short-vowel-words
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.2,Does the word start with a consonant blend?,https://uk.ixl.com/english/year-2/does-the-word-start-with-a-consonant-blend
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.4,Does the word end with a consonant blend?,https://uk.ixl.com/english/year-2/does-the-word-end-with-a-consonant-blend
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-F.6,"Complete the word to match the picture: -ss, -ll, -ff, -zz, -ck",https://uk.ixl.com/english/year-2/complete-the-word-to-match-the-picture-ss-ll-ff-zz-ck
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-N.1,Choose the silent e word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-silent-e-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-N.4,Choose the silent e sentence that matches the picture,https://uk.ixl.com/english/year-2/choose-the-silent-e-sentence-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-O.1,Choose the picture that matches the vowel digraph word,https://uk.ixl.com/english/year-2/choose-the-picture-that-matches-the-vowel-digraph-word
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.1,Match the short a and long a words to pictures,https://uk.ixl.com/english/year-2/match-the-short-a-and-long-a-words-to-pictures
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.2,Match the short e and long e words to pictures,https://uk.ixl.com/english/year-2/match-the-short-e-and-long-e-words-to-pictures
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.3,Choose the short i or long i word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-i-or-long-i-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.4,Choose the short o or long o word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-o-or-long-o-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-P.5,Choose the short u or long u word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-short-u-or-long-u-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,Apply phonic knowledge and skills as the route to decode words,2-Q.1,Choose the diphthong word that matches the picture,https://uk.ixl.com/english/year-2/choose-the-diphthong-word-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.5,Choose the letter that matches the consonant sound: review,https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-review
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.6,Which letter does the word start with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-start-with
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-I.7,Which letter does the word end with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-end-with
Key Stage 1,Year 1,Reading,Word Reading,"Respond speedily with the correct sound to graphemes (letters or groups of letters) for all 40+ phonemes, including, where applicable, alternative sounds for graphemes",1-J.8,Choose the correct digraph,https://uk.ixl.com/english/year-1/choose-the-correct-digraph
Key Stage 1,Year 1,Reading,Word Reading,Read accurately by blending sounds in unfamiliar words containing GPCs that have been taught,1-G.2,Blend each sound in a word together,https://uk.ixl.com/english/year-1/blend-each-sound-in-a-word-together
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.1,Choose the two sight words that are the same,https://uk.ixl.com/english/year-1/choose-the-two-sight-words-that-are-the-same
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.2,"Read sight words set 1: ate, he, of, that, was",https://uk.ixl.com/english/year-1/read-sight-words-set-1-ate-he-of-that-was
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.3,"Read sight words set 2: are, green, on, please, they",https://uk.ixl.com/english/year-1/read-sight-words-set-2-are-green-on-please-they
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.4,"Read sight words set 3: be, have, or, pretty, this",https://uk.ixl.com/english/year-1/read-sight-words-set-3-be-have-or-pretty-this
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.5,"Read sight words: review sets 1, 2, 3",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-1-2-3
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.6,"Read sight words set 4: all, but, ride, saw, what",https://uk.ixl.com/english/year-1/read-sight-words-set-4-all-but-ride-saw-what
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.7,"Read sight words set 5: about, like, she, under, we",https://uk.ixl.com/english/year-1/read-sight-words-set-5-about-like-she-under-we
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.8,"Read sight words set 6: black, into, made, ran, white",https://uk.ixl.com/english/year-1/read-sight-words-set-6-black-into-made-ran-white
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.9,"Read sight words: review sets 4, 5, 6",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-4-5-6
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.10,"Read sight words set 7: am, did, get, now, well",https://uk.ixl.com/english/year-1/read-sight-words-set-7-am-did-get-now-well
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.11,"Read sight words set 8: fast, good, him, take, will",https://uk.ixl.com/english/year-1/read-sight-words-set-8-fast-good-him-take-will
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.12,"Read sight words set 9: came, going, say, too, with",https://uk.ixl.com/english/year-1/read-sight-words-set-9-came-going-say-too-with
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.13,"Read sight words set 10: brown, does, eat, must, went",https://uk.ixl.com/english/year-1/read-sight-words-set-10-brown-does-eat-must-went
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.14,"Read sight words: review sets 7, 8, 9, 10",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-7-8-9-10
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.15,Read sight words: review sets 1–10,https://uk.ixl.com/english/year-1/read-sight-words-review-sets-1-10
Key Stage 1,Year 1,Reading,Word Reading,"Read common exception words, noting unusual correspondences between spelling and sound and where these occur in the word",1-R.16,Complete the sentence with the correct sight word,https://uk.ixl.com/english/year-1/complete-the-sentence-with-the-correct-sight-word
Key Stage 1,Year 1,Reading,Word Reading,"Read words containing taught GPCs and –s, –es, –ing, –ed, –er and –est endings",1-GG.2,Choose the singular or plural noun that matches the picture,https://uk.ixl.com/english/year-1/choose-the-singular-or-plural-noun-that-matches-the-picture
Key Stage 1,Year 1,Reading,Word Reading,"Read words containing taught GPCs and –s, –es, –ing, –ed, –er and –est endings",2-JJ.9,Match the -ed and -ing sentences to the pictures,https://uk.ixl.com/english/year-2/match-the-ed-and-ing-sentences-to-the-pictures
Key Stage 1,Year 1,Reading,Word Reading,Read other words of more than one syllable that contain taught GPCs,2-R.1,Put two syllables together to create a word: easier,https://uk.ixl.com/english/year-2/put-two-syllables-together-to-create-a-word-easier
Key Stage 1,Year 1,Reading,Word Reading,"Read words with contractions [for example, I'm, I'll, we'll], and understand that the apostrophe represents the omitted letter(s)",2-OO.1,Match the contractions,https://uk.ixl.com/english/year-2/match-the-contractions
Key Stage 1,Year 1,Reading,Comprehension,"Develop pleasure in reading, motivation to read, vocabulary and understanding by: > Being encouraged to link what they read or hear read to their own experiences",1-T.1,Which could happen in real life?,https://uk.ixl.com/english/year-1/which-could-happen-in-real-life
Key Stage 1,Year 1,Reading,Comprehension,"Develop pleasure in reading, motivation to read, vocabulary and understanding by: > Being encouraged to link what they read or hear read to their own experiences",1-V.2,What will happen next?,https://uk.ixl.com/english/year-1/what-will-happen-next
Key Stage 1,Year 1,Reading,Comprehension,"Develop pleasure in reading, motivation to read, vocabulary and understanding by: > Discussing word meanings, linking new meanings to those already known",1-DD.1,Multiple-meaning words with pictures,https://uk.ixl.com/english/year-1/multiple-meaning-words-with-pictures
Key Stage 1,Year 1,Reading,Comprehension,Understand both the books they can already read accurately and fluently and those they listen to by: > Drawing on what they already know or on background information and vocabulary provided by the teacher,1-T.1,Which could happen in real life?,https://uk.ixl.com/english/year-1/which-could-happen-in-real-life
Key Stage 1,Year 1,Reading,Comprehension,Understand both the books they can already read accurately and fluently and those they listen to by: > Discussing the significance of the title and events,1-S.1,Identify book parts and features,https://uk.ixl.com/english/year-1/identify-book-parts-and-features
Key Stage 1,Year 1,Reading,Comprehension,Understand both the books they can already read accurately and fluently and those they listen to by: > Making inferences on the basis of what is being said and done,1-V.1,Which feeling matches the picture?,https://uk.ixl.com/english/year-1/which-feeling-matches-the-picture
Key Stage 1,Year 1,Reading,Comprehension,Understand both the books they can already read accurately and fluently and those they listen to by: > Making inferences on the basis of what is being said and done,1-W.1,What am I?,https://uk.ixl.com/english/year-1/what-am-i
Key Stage 1,Year 1,Reading,Comprehension,Understand both the books they can already read accurately and fluently and those they listen to by: > Predicting what might happen on the basis of what has been read so far,1-V.2,What will happen next?,https://uk.ixl.com/english/year-1/what-will-happen-next
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-J.2,Complete the word with the right initial consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-initial-consonant-blend
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-J.5,Complete the word with the right final consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-final-consonant-blend
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-K.3,Complete the short a word,https://uk.ixl.com/english/year-1/complete-the-short-a-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-L.3,Complete the short e word,https://uk.ixl.com/english/year-1/complete-the-short-e-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-M.3,Complete the short i words,https://uk.ixl.com/english/year-1/complete-the-short-i-words
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-N.3,Complete the short o word,https://uk.ixl.com/english/year-1/complete-the-short-o-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-O.3,Complete the short u word,https://uk.ixl.com/english/year-1/complete-the-short-u-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-P.2,Complete the word with the right short vowel,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-short-vowel
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,1-P.3,Spell the short vowel word,https://uk.ixl.com/english/year-1/spell-the-short-vowel-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,2-N.3,Spell the silent e word,https://uk.ixl.com/english/year-2/spell-the-silent-e-word
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,2-O.3,Complete the word with the right vowel digraph,https://uk.ixl.com/english/year-2/complete-the-word-with-the-right-vowel-digraph
Key Stage 1,Year 1,Writing,Transcription,Spell: > Words containing each of the 40+ phonemes already taught,2-Q.2,"Complete the word with the right diphthong: oi, oy, ou, ow",https://uk.ixl.com/english/year-2/complete-the-word-with-the-right-diphthong-oi-oy-ou-ow
Key Stage 1,Year 1,Writing,Transcription,Spell: > Common exception words,1-R.17,Spell the sight word,https://uk.ixl.com/english/year-1/spell-the-sight-word
Key Stage 1,Year 1,Writing,Transcription,Name the letters of the alphabet: > Naming the letters of the alphabet in order,1-B.11,Put the letters in ABC order,https://uk.ixl.com/english/year-1/put-the-letters-in-abc-order
Key Stage 1,Year 1,Writing,Transcription,Add prefixes and suffixes: > Using the spelling rule for adding –s or –es as the plural marker for nouns and the third person singular marker for verbs,2-FF.7,Form regular plurals with -s and -es,https://uk.ixl.com/english/year-2/form-regular-plurals-with-s-and-es
Key Stage 1,Year 1,Writing,Transcription,"Add prefixes and suffixes: > Using –ing, –ed, –er and –est where no change is needed in the spelling of root words [for example, helping, helped, helper, eating, quicker, quickest]",2-JJ.8,Complete the verb with the ending that you hear,https://uk.ixl.com/english/year-2/complete-the-verb-with-the-ending-that-you-hear
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-A.2,Find the letter in the alphabet: lowercase,https://uk.ixl.com/english/year-1/find-the-letter-in-the-alphabet-lowercase
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-A.3,Choose the letter that you hear: uppercase,https://uk.ixl.com/english/year-1/choose-the-letter-that-you-hear-uppercase
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-A.4,Choose the letter that you hear: lowercase,https://uk.ixl.com/english/year-1/choose-the-letter-that-you-hear-lowercase
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-A.5,Frequently confused letters: find the letter,https://uk.ixl.com/english/year-1/frequently-confused-letters-find-the-letter
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-A.6,Frequently confused letters: find all the letters,https://uk.ixl.com/english/year-1/frequently-confused-letters-find-all-the-letters
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-E.3,Sort by the number of syllables,https://uk.ixl.com/english/year-1/sort-by-the-number-of-syllables
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-G.4,Put the sounds in order,https://uk.ixl.com/english/year-1/put-the-sounds-in-order
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-I.2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-I.3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-I.4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-I.5,Choose the letter that matches the consonant sound: review,https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-review
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-J.2,Complete the word with the right initial consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-initial-consonant-blend
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-J.5,Complete the word with the right final consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-final-consonant-blend
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-P.2,Complete the word with the right short vowel,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-short-vowel
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-P.3,Spell the short vowel word,https://uk.ixl.com/english/year-1/spell-the-short-vowel-word
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",1-R.17,Spell the sight word,https://uk.ixl.com/english/year-1/spell-the-sight-word
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",2-N.2,Complete the silent e words,https://uk.ixl.com/english/year-2/complete-the-silent-e-words
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",2-O.2,Complete the vowel digraph words,https://uk.ixl.com/english/year-2/complete-the-vowel-digraph-words
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",2-Q.2,"Complete the word with the right diphthong: oi, oy, ou, ow",https://uk.ixl.com/english/year-2/complete-the-word-with-the-right-diphthong-oi-oy-ou-ow
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",2-FF.7,Form regular plurals with -s and -es,https://uk.ixl.com/english/year-2/form-regular-plurals-with-s-and-es
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",2-JJ.8,Complete the verb with the ending that you hear,https://uk.ixl.com/english/year-2/complete-the-verb-with-the-ending-that-you-hear
Key Stage 1,Year 1,Writing,Transcription,"Apply simple spelling rules and guidance, as listed in English Appendix 1",3-CC.1,Form compound words,https://uk.ixl.com/english/year-3/form-compound-words
Key Stage 1,Year 1,Writing,Composition,Write sentences by: > Sequencing sentences to form short narratives,2-NN.3,Put the sentences in order,https://uk.ixl.com/english/year-2/put-the-sentences-in-order
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation",Develop their understanding of the concepts set out in English Appendix 2 by: > Leaving spaces between words,1-C.2,Choose the sentence that is spaced correctly,https://uk.ixl.com/english/year-1/choose-the-sentence-that-is-spaced-correctly
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Beginning to punctuate sentences using a capital letter and a full stop, question mark or exclamation mark",1-EE.1,Is it a telling sentence or an asking sentence?,https://uk.ixl.com/english/year-1/is-it-a-telling-sentence-or-an-asking-sentence
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Beginning to punctuate sentences using a capital letter and a full stop, question mark or exclamation mark",1-EE.2,Identify and use end marks,https://uk.ixl.com/english/year-1/identify-and-use-end-marks
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Beginning to punctuate sentences using a capital letter and a full stop, question mark or exclamation mark",1-FF.1,Capitalise the first letter of a sentence,https://uk.ixl.com/english/year-1/capitalise-the-first-letter-of-a-sentence
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Using a capital letter for names of people, places, the days of the week, and the personal pronoun 'I'",1-FF.2,Capitalise the pronoun 'I',https://uk.ixl.com/english/year-1/capitalise-the-pronoun-i
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Using a capital letter for names of people, places, the days of the week, and the personal pronoun 'I'",2-PP.1,Capitalise the names of people and pets,https://uk.ixl.com/english/year-2/capitalise-the-names-of-people-and-pets
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation","Develop their understanding of the concepts set out in English Appendix 2 by: > Using a capital letter for names of people, places, the days of the week, and the personal pronoun 'I'",2-PP.2,Capitalise days and months,https://uk.ixl.com/english/year-2/capitalise-days-and-months
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation",Develop their understanding of the concepts set out in English Appendix 2 by: > Learning the grammar for year 1 in English Appendix 2,1-EE.3,Find the complete sentence,https://uk.ixl.com/english/year-1/find-the-complete-sentence
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation",Develop their understanding of the concepts set out in English Appendix 2 by: > Learning the grammar for year 1 in English Appendix 2,1-EE.4,Unscramble the words to make a complete sentence,https://uk.ixl.com/english/year-1/unscramble-the-words-to-make-a-complete-sentence
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation",Develop their understanding of the concepts set out in English Appendix 2 by: > Learning the grammar for year 1 in English Appendix 2,1-GG.2,Choose the singular or plural noun that matches the picture,https://uk.ixl.com/english/year-1/choose-the-singular-or-plural-noun-that-matches-the-picture
Key Stage 1,Year 1,Writing,"Vocabulary, grammar and punctuation",Develop their understanding of the concepts set out in English Appendix 2 by: > Learning the grammar for year 1 in English Appendix 2,1-HH.3,Complete the sentence with an action verb to match the picture,https://uk.ixl.com/english/year-1/complete-the-sentence-with-an-action-verb-to-match-the-picture
Key Stage 1,Year 2,Reading,Word Reading,Continue to apply phonic knowledge and skills as the route to decode words until automatic decoding has become embedded and reading is fluent,2-JJ.9,Match the -ed and -ing sentences to the pictures,https://uk.ixl.com/english/year-2/match-the-ed-and-ing-sentences-to-the-pictures
Key Stage 1,Year 2,Reading,Word Reading,Continue to apply phonic knowledge and skills as the route to decode words until automatic decoding has become embedded and reading is fluent,3-K.1,Sort soft and hard g words and soft and hard c words,https://uk.ixl.com/english/year-3/sort-soft-and-hard-g-words-and-soft-and-hard-c-words
Key Stage 1,Year 2,Reading,Word Reading,Continue to apply phonic knowledge and skills as the route to decode words until automatic decoding has become embedded and reading is fluent,3-K.2,Pick the soft g or soft c word that matches the picture,https://uk.ixl.com/english/year-3/pick-the-soft-g-or-soft-c-word-that-matches-the-picture
Key Stage 1,Year 2,Reading,Word Reading,Continue to apply phonic knowledge and skills as the route to decode words until automatic decoding has become embedded and reading is fluent,3-K.3,Choose the soft g or soft c sentence that matches the picture,https://uk.ixl.com/english/year-3/choose-the-soft-g-or-soft-c-sentence-that-matches-the-picture
Key Stage 1,Year 2,Reading,Word Reading,Continue to apply phonic knowledge and skills as the route to decode words until automatic decoding has become embedded and reading is fluent,3-M.1,Complete the consonant-l-e words,https://uk.ixl.com/english/year-3/complete-the-consonant-l-e-words
Key Stage 1,Year 2,Reading,Word Reading,"Read accurately by blending the sounds in words that contain the graphemes taught so far, especially recognising alternative sounds for graphemes",2-D.1,Blend each sound in a word together,https://uk.ixl.com/english/year-2/blend-each-sound-in-a-word-together
Key Stage 1,Year 2,Reading,Word Reading,"Read accurately by blending the sounds in words that contain the graphemes taught so far, especially recognising alternative sounds for graphemes",3-J.2,Which word has a different vowel sound?,https://uk.ixl.com/english/year-3/which-word-has-a-different-vowel-sound
Key Stage 1,Year 2,Reading,Word Reading,Read accurately words of two or more syllables that contain the same graphemes as above,2-R.2,Put two syllables together to create a word: harder,https://uk.ixl.com/english/year-2/put-two-syllables-together-to-create-a-word-harder
Key Stage 1,Year 2,Reading,Word Reading,Read accurately words of two or more syllables that contain the same graphemes as above,2-R.4,Complete the sentence with a two-syllable word,https://uk.ixl.com/english/year-2/complete-the-sentence-with-a-two-syllable-word
Key Stage 1,Year 2,Reading,Word Reading,Read words containing common suffixes,2-BB.1,Use words with prefixes and suffixes,https://uk.ixl.com/english/year-2/use-words-with-prefixes-and-suffixes
