Key Stage,Year,Category Code,Category Name,Skill Code,Skill Number,Skill Title,Skill URL
Early Years,Reception,A,Letter identification,A.1,1,Find the letter in the alphabet: uppercase,https://uk.ixl.com/english/reception/find-the-letter-in-the-alphabet-uppercase
Early Years,Reception,A,Letter identification,A.2,2,Find the letter in the alphabet: lowercase,https://uk.ixl.com/english/reception/find-the-letter-in-the-alphabet-lowercase
Early Years,Reception,A,Letter identification,A.3,3,Choose the letter that you hear: uppercase,https://uk.ixl.com/english/reception/choose-the-letter-that-you-hear-uppercase
Early Years,Reception,A,Letter identification,A.4,4,Choose the letter that you hear: lowercase,https://uk.ixl.com/english/reception/choose-the-letter-that-you-hear-lowercase
Early Years,Reception,A,Letter identification,A.5,5,Frequently confused letters: find the letter,https://uk.ixl.com/english/reception/frequently-confused-letters-find-the-letter
Early Years,Reception,A,Letter identification,A.6,6,Frequently confused letters: find all the letters,https://uk.ixl.com/english/reception/frequently-confused-letters-find-all-the-letters
Early Years,Reception,B,Lowercase and uppercase letters,B.1,1,"Choose the lowercase letter that matches: c, k, o, p, s, u, v, w, x, z",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Early Years,Reception,B,Lowercase and uppercase letters,B.2,2,"Choose the lowercase letter that matches: f, i, j, l, m, t, y",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-f-i-j-l-m-t-y
Early Years,Reception,B,Lowercase and uppercase letters,B.3,3,"Choose the lowercase letter that matches: a, b, d, e, g, h, n, q, r",https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Early Years,Reception,B,Lowercase and uppercase letters,B.4,4,Find all the lowercase letters,https://uk.ixl.com/english/reception/find-all-the-lowercase-letters
Early Years,Reception,B,Lowercase and uppercase letters,B.5,5,"Choose the uppercase letter that matches: C, K, O, P, S, U, V, W, X, Z",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Early Years,Reception,B,Lowercase and uppercase letters,B.6,6,"Choose the uppercase letter that matches: F, I, J, L, M, T, Y",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-f-i-j-l-m-t-y
Early Years,Reception,B,Lowercase and uppercase letters,B.7,7,"Choose the uppercase letter that matches: A, B, D, E, G, H, N, Q, R",https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Early Years,Reception,B,Lowercase and uppercase letters,B.8,8,Find all the uppercase letters,https://uk.ixl.com/english/reception/find-all-the-uppercase-letters
Early Years,Reception,C,Word recognition,C.1,1,Choose the two words that are the same,https://uk.ixl.com/english/reception/choose-the-two-words-that-are-the-same
Early Years,Reception,C,Word recognition,C.2,2,Choose the sentence that is spaced correctly,https://uk.ixl.com/english/reception/choose-the-sentence-that-is-spaced-correctly
Early Years,Reception,C,Word recognition,C.3,3,Find a word in a sentence,https://uk.ixl.com/english/reception/find-a-word-in-a-sentence
Early Years,Reception,D,Rhyming,D.1,1,Which word has the same ending?,https://uk.ixl.com/english/reception/which-word-has-the-same-ending
Early Years,Reception,D,Rhyming,D.2,2,Which two words have the same ending?,https://uk.ixl.com/english/reception/which-two-words-have-the-same-ending
Early Years,Reception,D,Rhyming,D.3,3,Choose the picture that rhymes with the word,https://uk.ixl.com/english/reception/choose-the-picture-that-rhymes-with-the-word
Early Years,Reception,E,Blending and segmenting,E.1,1,Blend onset and rime together to make a word,https://uk.ixl.com/english/reception/blend-onset-and-rime-together-to-make-a-word
Early Years,Reception,E,Blending and segmenting,E.2,2,Blend each sound in a word together,https://uk.ixl.com/english/reception/blend-each-sound-in-a-word-together
Early Years,Reception,E,Blending and segmenting,E.3,3,Identify the first sound in a word,https://uk.ixl.com/english/reception/identify-the-first-sound-in-a-word
Early Years,Reception,E,Blending and segmenting,E.4,4,Put the sounds in order,https://uk.ixl.com/english/reception/put-the-sounds-in-order
Early Years,Reception,F,Beginning and ending sounds,F.1,1,Which two words start with the same sound?,https://uk.ixl.com/english/reception/which-two-words-start-with-the-same-sound
Early Years,Reception,F,Beginning and ending sounds,F.2,2,Which two words end with the same sound?,https://uk.ixl.com/english/reception/which-two-words-end-with-the-same-sound
Early Years,Reception,F,Beginning and ending sounds,F.3,3,Which word ends with the same sound?,https://uk.ixl.com/english/reception/which-word-ends-with-the-same-sound
Early Years,Reception,G,Letter-sound associations: uppercase,G.1,1,"Choose the letter that matches the consonant sound: B, D, J, K, P, T, V, Z",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-B-D-J-K-P-T-V-Z
Early Years,Reception,G,Letter-sound associations: uppercase,G.2,2,"Choose the letter that matches the consonant sound: F, L, M, N, R, S",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-F-L-M-N-R-S
Early Years,Reception,G,Letter-sound associations: uppercase,G.3,3,"Choose the letter that matches the consonant sound: C, G, H, W",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-C-G-H-W
Early Years,Reception,G,Letter-sound associations: uppercase,G.4,4,Choose the uppercase letter that matches the consonant sound: review,https://uk.ixl.com/english/reception/choose-the-uppercase-letter-that-matches-the-consonant-sound-review
Early Years,Reception,H,Letter-sound associations: lowercase,H.1,1,Find the word that begins with a given sound,https://uk.ixl.com/english/reception/find-the-word-that-begins-with-a-given-sound
Early Years,Reception,H,Letter-sound associations: lowercase,H.2,2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Early Years,Reception,H,Letter-sound associations: lowercase,H.3,3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Early Years,Reception,H,Letter-sound associations: lowercase,H.4,4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/reception/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Early Years,Reception,H,Letter-sound associations: lowercase,H.5,5,Choose the lowercase letter that matches the consonant sound: review,https://uk.ixl.com/english/reception/choose-the-lowercase-letter-that-matches-the-consonant-sound-review
Early Years,Reception,I,Short a,I.1,1,Find the short a word,https://uk.ixl.com/english/reception/find-the-short-a-word
Early Years,Reception,I,Short a,I.2,2,Choose the short a word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-a-word-that-matches-the-picture-lowercase
Early Years,Reception,J,Short e,J.1,1,Find the short e word,https://uk.ixl.com/english/reception/find-the-short-e-word
Early Years,Reception,J,Short e,J.2,2,Choose the picture that matches the short e word: lowercase,https://uk.ixl.com/english/reception/choose-the-picture-that-matches-the-short-e-word-lowercase
Early Years,Reception,K,Short i,K.1,1,Find the short i word,https://uk.ixl.com/english/reception/find-the-short-i-word
Early Years,Reception,K,Short i,K.2,2,Choose the short i word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-i-word-that-matches-the-picture-lowercase
Early Years,Reception,L,Short o,L.1,1,Find the short o word,https://uk.ixl.com/english/reception/find-the-short-o-word
Early Years,Reception,L,Short o,L.2,2,Choose the short o word that matches the picture: lowercase,https://uk.ixl.com/english/reception/choose-the-short-o-word-that-matches-the-picture-lowercase
Early Years,Reception,M,Short u,M.1,1,Find the short u word,https://uk.ixl.com/english/reception/find-the-short-u-word
Early Years,Reception,M,Short u,M.2,2,Choose the picture that matches the short u word: lowercase,https://uk.ixl.com/english/reception/choose-the-picture-that-matches-the-short-u-word-lowercase
Early Years,Reception,N,Sight words,N.1,1,Choose the two sight words that are the same,https://uk.ixl.com/english/reception/choose-the-two-sight-words-that-are-the-same
Early Years,Reception,N,Sight words,N.2,2,"Read sight words set 1: a, in, run, the, you",https://uk.ixl.com/english/reception/read-sight-words-set-1-a-in-run-the-you
Early Years,Reception,N,Sight words,N.3,3,"Read sight words set 2: and, had, is, let, to",https://uk.ixl.com/english/reception/read-sight-words-set-2-and-had-is-let-to
Early Years,Reception,N,Sight words,N.4,4,"Read sight words set 3: at, for, I, one, said",https://uk.ixl.com/english/reception/read-sight-words-set-3-at-for-i-one-said
Early Years,Reception,N,Sight words,N.5,5,"Read sight words: review sets 1, 2, 3",https://uk.ixl.com/english/reception/read-sight-words-review-sets-1-2-3
Early Years,Reception,N,Sight words,N.6,6,"Read sight words set 4: can, it, not, up, yes",https://uk.ixl.com/english/reception/read-sight-words-set-4-can-it-not-up-yes
Early Years,Reception,N,Sight words,N.7,7,"Read sight words set 5: an, do, jump, look, make",https://uk.ixl.com/english/reception/read-sight-words-set-5-an-do-jump-look-make
Early Years,Reception,N,Sight words,N.8,8,"Read sight words set 6: down, go, out, so, two",https://uk.ixl.com/english/reception/read-sight-words-set-6-down-go-out-so-two
Early Years,Reception,N,Sight words,N.9,9,"Read sight words: review sets 4, 5, 6",https://uk.ixl.com/english/reception/read-sight-words-review-sets-4-5-6
Early Years,Reception,N,Sight words,N.10,10,"Read sight words set 7: find, my, no, red, see",https://uk.ixl.com/english/reception/read-sight-words-set-7-find-my-no-red-see
Early Years,Reception,N,Sight words,N.11,11,"Read sight words set 8: come, funny, little, me, sit",https://uk.ixl.com/english/reception/read-sight-words-set-8-come-funny-little-me-sit
Early Years,Reception,N,Sight words,N.12,12,"Read sight words set 9: big, help, play, three, yellow",https://uk.ixl.com/english/reception/read-sight-words-set-9-big-help-play-three-yellow
Early Years,Reception,N,Sight words,N.13,13,"Read sight words set 10: away, blue, here, us, where",https://uk.ixl.com/english/reception/read-sight-words-set-10-away-blue-here-us-where
Early Years,Reception,N,Sight words,N.14,14,"Read sight words: review sets 7, 8, 9, 10",https://uk.ixl.com/english/reception/read-sight-words-review-sets-7-8-9-10
Early Years,Reception,N,Sight words,N.15,15,Read sight words: review sets 1–10,https://uk.ixl.com/english/reception/read-sight-words-review-sets-1-10
Early Years,Reception,O,Text features,O.1,1,Identify book parts and features,https://uk.ixl.com/english/reception/identify-book-parts-and-features
Early Years,Reception,P,Reality vs fiction,P.1,1,Which could happen in real life?,https://uk.ixl.com/english/reception/which-could-happen-in-real-life
Early Years,Reception,Q,Inference and analysis,Q.1,1,Which feeling matches the picture?,https://uk.ixl.com/english/reception/which-feeling-matches-the-picture
Early Years,Reception,Q,Inference and analysis,Q.2,2,What will happen next?,https://uk.ixl.com/english/reception/what-will-happen-next
Early Years,Reception,R,Colour and number words,R.1,1,Use colour words,https://uk.ixl.com/english/reception/use-colour-words
Early Years,Reception,R,Colour and number words,R.2,2,Use number words: one to five,https://uk.ixl.com/english/reception/use-number-words-one-to-five
Early Years,Reception,R,Colour and number words,R.3,3,Use number words: six to ten,https://uk.ixl.com/english/reception/use-number-words-six-to-ten
Early Years,Reception,R,Colour and number words,R.4,4,Use number words: one to ten,https://uk.ixl.com/english/reception/use-number-words-one-to-ten
Early Years,Reception,S,Nouns,S.1,1,Choose the singular or plural noun that matches the picture,https://uk.ixl.com/english/reception/choose-the-singular-or-plural-noun-that-matches-the-picture
Early Years,Reception,T,Verbs,T.1,1,Find the picture that matches the action verb,https://uk.ixl.com/english/reception/find-the-picture-that-matches-the-action-verb
Early Years,Reception,U,Adjectives,U.1,1,Compare pictures using adjectives,https://uk.ixl.com/english/reception/compare-pictures-using-adjectives
Early Years,Reception,V,Location words,V.1,1,Inside and outside,https://uk.ixl.com/english/reception/inside-and-outside
Early Years,Reception,V,Location words,V.2,2,Above and below,https://uk.ixl.com/english/reception/above-and-below
Early Years,Reception,V,Location words,V.3,3,Next to and beside,https://uk.ixl.com/english/reception/next-to-and-beside
Early Years,Reception,W,Antonyms,W.1,1,Match antonyms to pictures,https://uk.ixl.com/english/reception/match-antonyms-to-pictures
Early Years,Reception,X,Categories,X.1,1,Sort objects into categories,https://uk.ixl.com/english/reception/sort-objects-into-categories
Early Years,Reception,X,Categories,X.2,2,Which one is not like the others?,https://uk.ixl.com/english/reception/which-one-is-not-like-the-others
Key Stage 1,Year 1,A,Letter identification,A.1,1,Find the letter in the alphabet: uppercase,https://uk.ixl.com/english/year-1/find-the-letter-in-the-alphabet-uppercase
Key Stage 1,Year 1,A,Letter identification,A.2,2,Find the letter in the alphabet: lowercase,https://uk.ixl.com/english/year-1/find-the-letter-in-the-alphabet-lowercase
Key Stage 1,Year 1,A,Letter identification,A.3,3,Choose the letter that you hear: uppercase,https://uk.ixl.com/english/year-1/choose-the-letter-that-you-hear-uppercase
Key Stage 1,Year 1,A,Letter identification,A.4,4,Choose the letter that you hear: lowercase,https://uk.ixl.com/english/year-1/choose-the-letter-that-you-hear-lowercase
Key Stage 1,Year 1,A,Letter identification,A.5,5,Frequently confused letters: find the letter,https://uk.ixl.com/english/year-1/frequently-confused-letters-find-the-letter
Key Stage 1,Year 1,A,Letter identification,A.6,6,Frequently confused letters: find all the letters,https://uk.ixl.com/english/year-1/frequently-confused-letters-find-all-the-letters
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.1,1,"Choose the lowercase letter that matches: c, k, o, p, s, u, v, w, x, z",https://uk.ixl.com/english/year-1/choose-the-lowercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.2,2,"Choose the lowercase letter that matches: f, i, j, l, m, t, y",https://uk.ixl.com/english/year-1/choose-the-lowercase-letter-that-matches-f-i-j-l-m-t-y
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.3,3,"Choose the lowercase letter that matches: a, b, d, e, g, h, n, q, r",https://uk.ixl.com/english/year-1/choose-the-lowercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.4,4,Choose the lowercase letter that matches: review,https://uk.ixl.com/english/year-1/choose-the-lowercase-letter-that-matches-review
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.5,5,Find all the lowercase letters,https://uk.ixl.com/english/year-1/find-all-the-lowercase-letters
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.6,6,"Choose the uppercase letter that matches: C, K, O, P, S, U, V, W, X, Z",https://uk.ixl.com/english/year-1/choose-the-uppercase-letter-that-matches-c-k-o-p-s-u-v-w-x-z
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.7,7,"Choose the uppercase letter that matches: F, I, J, L, M, T, Y",https://uk.ixl.com/english/year-1/choose-the-uppercase-letter-that-matches-f-i-j-l-m-t-y
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.8,8,"Choose the uppercase letter that matches: A, B, D, E, G, H, N, Q, R",https://uk.ixl.com/english/year-1/choose-the-uppercase-letter-that-matches-a-b-d-e-g-h-n-q-r
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.9,9,Choose the uppercase letter that matches: review,https://uk.ixl.com/english/year-1/choose-the-uppercase-letter-that-matches-review
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.10,10,Find all the uppercase letters,https://uk.ixl.com/english/year-1/find-all-the-uppercase-letters
Key Stage 1,Year 1,B,Lowercase and uppercase letters,B.11,11,Put the letters in ABC order,https://uk.ixl.com/english/year-1/put-the-letters-in-abc-order
Key Stage 1,Year 1,C,Word recognition,C.1,1,Choose the two words that are the same,https://uk.ixl.com/english/year-1/choose-the-two-words-that-are-the-same
Key Stage 1,Year 1,C,Word recognition,C.2,2,Choose the sentence that is spaced correctly,https://uk.ixl.com/english/year-1/choose-the-sentence-that-is-spaced-correctly
Key Stage 1,Year 1,C,Word recognition,C.3,3,Find a word in a sentence,https://uk.ixl.com/english/year-1/find-a-word-in-a-sentence
Key Stage 1,Year 1,D,Consonants and vowels,D.1,1,Sort consonants and vowels,https://uk.ixl.com/english/year-1/sort-consonants-and-vowels
Key Stage 1,Year 1,D,Consonants and vowels,D.2,2,Find the vowel in the word,https://uk.ixl.com/english/year-1/find-the-vowel-in-the-word
Key Stage 1,Year 1,E,Syllables,E.1,1,How many syllables does the word have?,https://uk.ixl.com/english/year-1/how-many-syllables-does-the-word-have
Key Stage 1,Year 1,E,Syllables,E.2,2,Which word has more syllables?,https://uk.ixl.com/english/year-1/which-word-has-more-syllables
Key Stage 1,Year 1,E,Syllables,E.3,3,Sort by the number of syllables,https://uk.ixl.com/english/year-1/sort-by-the-number-of-syllables
Key Stage 1,Year 1,F,Rhyming,F.1,1,Which word has the same ending?,https://uk.ixl.com/english/year-1/which-word-has-the-same-ending
Key Stage 1,Year 1,F,Rhyming,F.2,2,Which two words have the same ending?,https://uk.ixl.com/english/year-1/which-two-words-have-the-same-ending
Key Stage 1,Year 1,F,Rhyming,F.3,3,Choose the picture that rhymes with the word,https://uk.ixl.com/english/year-1/choose-the-picture-that-rhymes-with-the-word
Key Stage 1,Year 1,F,Rhyming,F.4,4,Which word does not rhyme?,https://uk.ixl.com/english/year-1/which-word-does-not-rhyme
Key Stage 1,Year 1,F,Rhyming,F.5,5,Complete the rhyme,https://uk.ixl.com/english/year-1/complete-the-rhyme
Key Stage 1,Year 1,G,Blending and segmenting,G.1,1,Blend onset and rime together to make a word,https://uk.ixl.com/english/year-1/blend-onset-and-rime-together-to-make-a-word
Key Stage 1,Year 1,G,Blending and segmenting,G.2,2,Blend each sound in a word together,https://uk.ixl.com/english/year-1/blend-each-sound-in-a-word-together
Key Stage 1,Year 1,G,Blending and segmenting,G.3,3,"Identify the first, second and last sound in a word",https://uk.ixl.com/english/year-1/identify-the-first-second-and-last-sound-in-a-word
Key Stage 1,Year 1,G,Blending and segmenting,G.4,4,Put the sounds in order,https://uk.ixl.com/english/year-1/put-the-sounds-in-order
Key Stage 1,Year 1,H,Beginning and ending sounds,H.1,1,Which two words start with the same sound?,https://uk.ixl.com/english/year-1/which-two-words-start-with-the-same-sound
Key Stage 1,Year 1,H,Beginning and ending sounds,H.2,2,Which word ends with the same sound?,https://uk.ixl.com/english/year-1/which-word-ends-with-the-same-sound
Key Stage 1,Year 1,H,Beginning and ending sounds,H.3,3,Which two words end with the same sound?,https://uk.ixl.com/english/year-1/which-two-words-end-with-the-same-sound
Key Stage 1,Year 1,I,Letter-sound associations,I.1,1,Find the words that begin with a given sound,https://uk.ixl.com/english/year-1/find-the-words-that-begin-with-a-given-sound
Key Stage 1,Year 1,I,Letter-sound associations,I.2,2,"Choose the letter that matches the consonant sound: b, d, j, k, p, t, v, z",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-b-d-j-k-p-t-v-z
Key Stage 1,Year 1,I,Letter-sound associations,I.3,3,"Choose the letter that matches the consonant sound: f, l, m, n, r, s",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-f-l-m-n-r-s
Key Stage 1,Year 1,I,Letter-sound associations,I.4,4,"Choose the letter that matches the consonant sound: c, g, h, w",https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-c-g-h-w
Key Stage 1,Year 1,I,Letter-sound associations,I.5,5,Choose the letter that matches the consonant sound: review,https://uk.ixl.com/english/year-1/choose-the-letter-that-matches-the-consonant-sound-review
Key Stage 1,Year 1,I,Letter-sound associations,I.6,6,Which letter does the word start with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-start-with
Key Stage 1,Year 1,I,Letter-sound associations,I.7,7,Which letter does the word end with?,https://uk.ixl.com/english/year-1/which-letter-does-the-word-end-with
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.1,1,Which consonant blend does the word start with?,https://uk.ixl.com/english/year-1/which-consonant-blend-does-the-word-start-with
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.2,2,Complete the word with the right initial consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-initial-consonant-blend
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.3,3,Does the word start with a consonant blend?,https://uk.ixl.com/english/year-1/does-the-word-start-with-a-consonant-blend
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.4,4,Which consonant blend does the word end with?,https://uk.ixl.com/english/year-1/which-consonant-blend-does-the-word-end-with
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.5,5,Complete the word with the right final consonant blend,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-final-consonant-blend
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.6,6,Does the word end with a consonant blend?,https://uk.ixl.com/english/year-1/does-the-word-end-with-a-consonant-blend
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.7,7,"Choose the word that matches the picture: -ss, -ll, -ff, -zz, -ck",https://uk.ixl.com/english/year-1/choose-the-word-that-matches-the-picture-ss-ll-ff-zz-ck
Key Stage 1,Year 1,J,Consonant blends and digraphs,J.8,8,Choose the correct digraph,https://uk.ixl.com/english/year-1/choose-the-correct-digraph
Key Stage 1,Year 1,K,Short a,K.1,1,Find the short a word,https://uk.ixl.com/english/year-1/find-the-short-a-word
Key Stage 1,Year 1,K,Short a,K.2,2,Choose the short a word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-word-that-matches-the-picture
Key Stage 1,Year 1,K,Short a,K.3,3,Complete the short a word,https://uk.ixl.com/english/year-1/complete-the-short-a-word
Key Stage 1,Year 1,K,Short a,K.4,4,Choose the short a sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-a-sentence-that-matches-the-picture
Key Stage 1,Year 1,L,Short e,L.1,1,Find the short e word,https://uk.ixl.com/english/year-1/find-the-short-e-word
Key Stage 1,Year 1,L,Short e,L.2,2,Choose the picture that matches the short e word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-e-word
Key Stage 1,Year 1,L,Short e,L.3,3,Complete the short e word,https://uk.ixl.com/english/year-1/complete-the-short-e-word
Key Stage 1,Year 1,L,Short e,L.4,4,Choose the short e sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-e-sentence-that-matches-the-picture
Key Stage 1,Year 1,M,Short i,M.1,1,Find the short i word,https://uk.ixl.com/english/year-1/find-the-short-i-word
Key Stage 1,Year 1,M,Short i,M.2,2,Choose the short i word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-word-that-matches-the-picture
Key Stage 1,Year 1,M,Short i,M.3,3,Complete the short i words,https://uk.ixl.com/english/year-1/complete-the-short-i-words
Key Stage 1,Year 1,M,Short i,M.4,4,Choose the short i sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-i-sentence-that-matches-the-picture
Key Stage 1,Year 1,N,Short o,N.1,1,Find the short o word,https://uk.ixl.com/english/year-1/find-the-short-o-word
Key Stage 1,Year 1,N,Short o,N.2,2,Choose the short o word that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-word-that-matches-the-picture
Key Stage 1,Year 1,N,Short o,N.3,3,Complete the short o word,https://uk.ixl.com/english/year-1/complete-the-short-o-word
Key Stage 1,Year 1,N,Short o,N.4,4,Choose the short o sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-o-sentence-that-matches-the-picture
Key Stage 1,Year 1,O,Short u,O.1,1,Find the short u word,https://uk.ixl.com/english/year-1/find-the-short-u-word
Key Stage 1,Year 1,O,Short u,O.2,2,Choose the picture that matches the short u word,https://uk.ixl.com/english/year-1/choose-the-picture-that-matches-the-short-u-word
Key Stage 1,Year 1,O,Short u,O.3,3,Complete the short u word,https://uk.ixl.com/english/year-1/complete-the-short-u-word
Key Stage 1,Year 1,O,Short u,O.4,4,Choose the short u sentence that matches the picture,https://uk.ixl.com/english/year-1/choose-the-short-u-sentence-that-matches-the-picture
Key Stage 1,Year 1,P,Short vowels,P.1,1,Identify the short vowel sound in a word,https://uk.ixl.com/english/year-1/identify-the-short-vowel-sound-in-a-word
Key Stage 1,Year 1,P,Short vowels,P.2,2,Complete the word with the right short vowel,https://uk.ixl.com/english/year-1/complete-the-word-with-the-right-short-vowel
Key Stage 1,Year 1,P,Short vowels,P.3,3,Spell the short vowel word,https://uk.ixl.com/english/year-1/spell-the-short-vowel-word
Key Stage 1,Year 1,P,Short vowels,P.4,4,Complete the sentence with the correct short vowel word,https://uk.ixl.com/english/year-1/complete-the-sentence-with-the-correct-short-vowel-word
Key Stage 1,Year 1,P,Short vowels,P.5,5,Read questions with short vowel words,https://uk.ixl.com/english/year-1/read-questions-with-short-vowel-words
Key Stage 1,Year 1,Q,Long vowels,Q.1,1,Find the word with the same vowel sound,https://uk.ixl.com/english/year-1/find-the-word-with-the-same-vowel-sound
Key Stage 1,Year 1,Q,Long vowels,Q.2,2,Which two words have the same vowel sound?,https://uk.ixl.com/english/year-1/which-two-words-have-the-same-vowel-sound
Key Stage 1,Year 1,Q,Long vowels,Q.3,3,Find the long a word,https://uk.ixl.com/english/year-1/find-the-long-a-word
Key Stage 1,Year 1,Q,Long vowels,Q.4,4,Find the long e word,https://uk.ixl.com/english/year-1/find-the-long-e-word
Key Stage 1,Year 1,Q,Long vowels,Q.5,5,Find the long i word,https://uk.ixl.com/english/year-1/find-the-long-i-word
Key Stage 1,Year 1,Q,Long vowels,Q.6,6,Find the long o word,https://uk.ixl.com/english/year-1/find-the-long-o-word
Key Stage 1,Year 1,Q,Long vowels,Q.7,7,Find the long u word,https://uk.ixl.com/english/year-1/find-the-long-u-word
Key Stage 1,Year 1,Q,Long vowels,Q.8,8,Sort short and long vowel words,https://uk.ixl.com/english/year-1/sort-short-and-long-vowel-words
Key Stage 1,Year 1,R,Sight words,R.1,1,Choose the two sight words that are the same,https://uk.ixl.com/english/year-1/choose-the-two-sight-words-that-are-the-same
Key Stage 1,Year 1,R,Sight words,R.2,2,"Read sight words set 1: ate, he, of, that, was",https://uk.ixl.com/english/year-1/read-sight-words-set-1-ate-he-of-that-was
Key Stage 1,Year 1,R,Sight words,R.3,3,"Read sight words set 2: are, green, on, please, they",https://uk.ixl.com/english/year-1/read-sight-words-set-2-are-green-on-please-they
Key Stage 1,Year 1,R,Sight words,R.4,4,"Read sight words set 3: be, have, or, pretty, this",https://uk.ixl.com/english/year-1/read-sight-words-set-3-be-have-or-pretty-this
Key Stage 1,Year 1,R,Sight words,R.5,5,"Read sight words: review sets 1, 2, 3",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-1-2-3
Key Stage 1,Year 1,R,Sight words,R.6,6,"Read sight words set 4: all, but, ride, saw, what",https://uk.ixl.com/english/year-1/read-sight-words-set-4-all-but-ride-saw-what
Key Stage 1,Year 1,R,Sight words,R.7,7,"Read sight words set 5: about, like, she, under, we",https://uk.ixl.com/english/year-1/read-sight-words-set-5-about-like-she-under-we
Key Stage 1,Year 1,R,Sight words,R.8,8,"Read sight words set 6: black, into, made, ran, white",https://uk.ixl.com/english/year-1/read-sight-words-set-6-black-into-made-ran-white
Key Stage 1,Year 1,R,Sight words,R.9,9,"Read sight words: review sets 4, 5, 6",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-4-5-6
Key Stage 1,Year 1,R,Sight words,R.10,10,"Read sight words set 7: am, did, get, now, well",https://uk.ixl.com/english/year-1/read-sight-words-set-7-am-did-get-now-well
Key Stage 1,Year 1,R,Sight words,R.11,11,"Read sight words set 8: fast, good, him, take, will",https://uk.ixl.com/english/year-1/read-sight-words-set-8-fast-good-him-take-will
Key Stage 1,Year 1,R,Sight words,R.12,12,"Read sight words set 9: came, going, say, too, with",https://uk.ixl.com/english/year-1/read-sight-words-set-9-came-going-say-too-with
Key Stage 1,Year 1,R,Sight words,R.13,13,"Read sight words set 10: brown, does, eat, must, went",https://uk.ixl.com/english/year-1/read-sight-words-set-10-brown-does-eat-must-went
Key Stage 1,Year 1,R,Sight words,R.14,14,"Read sight words: review sets 7, 8, 9, 10",https://uk.ixl.com/english/year-1/read-sight-words-review-sets-7-8-9-10
